城区,小区名称,区域名称,平米数,总价,单价
dongcheng,安外大街3号院,安定门,57.07平米,480万,"84,108元/平"
dongcheng,崇文门东大街,崇文门,81.96平米,666万,"81,260元/平"
dongcheng,广渠门内大街,广渠门,62.81平米,525万,"83,586元/平"
dongcheng,新奥洋房,永定门,98.2平米,699万,"71,182元/平"
dongcheng,东直门南大街,东直门,39.93平米,448万,"112,197元/平"
dongcheng,定安里,永定门,53.92平米,349万,"64,726元/平"
dongcheng,安乐林二条,永定门,57.96平米,325万,"56,074元/平"
dongcheng,崇文门东大街,崇文门,55.23平米,510万,"92,342元/平"
dongcheng,鼎盛园,永定门,69.24平米,420万,"60,659元/平"
dongcheng,东四块玉南街,左安门,69.24平米,520万,"75,102元/平"
dongcheng,西革新里110号院,永定门,44.44平米,290万,"65,257元/平"
dongcheng,东城区法华寺街83、85号,崇文门,11.9平米,169万,"142,017元/平"
dongcheng,前门东大街,前门,54.08平米,486万,"89,867元/平"
dongcheng,革新里小区,永定门,57.3平米,340万,"59,337元/平"
dongcheng,草厂胡同,地安门,13.6平米,219万,"161,030元/平"
dongcheng,宝钞胡同,安定门,56.08平米,598万,"106,634元/平"
dongcheng,天天家园,永定门,112.77平米,678万,"60,123元/平"
dongcheng,安乐林二条,永定门,57.08平米,330万,"57,814元/平"
dongcheng,绿景苑,广渠门,56.29平米,530万,"94,156元/平"
dongcheng,新奥洋房,永定门,178.67平米,1190万,"66,604元/平"
dongcheng,胡家园小区,东直门,55.35平米,450万,"81,301元/平"
dongcheng,西四块玉,左安门,64.13平米,478万,"74,537元/平"
dongcheng,小黄庄一区,安贞,68.39平米,608万,"88,902元/平"
dongcheng,龙潭北里,左安门,58.82平米,486万,"82,625元/平"
dongcheng,百荣嘉园,永定门,72.37平米,470万,"64,945元/平"
dongcheng,富贵园三区,东花市,80.76平米,640万,"79,248元/平"
dongcheng,望陶园小区,永定门,89.66平米,620万,"69,151元/平"
dongcheng,华龙美晟,永定门,79.71平米,625万,"78,410元/平"
dongcheng,幸福家园三期,广渠门,96.58平米,1150万,"119,073元/平"
dongcheng,龙潭北里,左安门,55.99平米,520万,"92,874元/平"
dongcheng,沙滩北街2号院,东四,50.46平米,565万,"111,970元/平"
dongcheng,复康南里,天坛,47.55平米,390万,"82,019元/平"
dongcheng,东花市大街2号院,东花市,68.84平米,690万,"100,233元/平"
dongcheng,朝阳门北小街,朝阳门内,71.62平米,735万,"102,625元/平"
dongcheng,崇文门东大街,崇文门,60.46平米,498万,"82,369元/平"
dongcheng,民旺园,和平里,75.04平米,738万,"98,348元/平"
dongcheng,吉安所北巷,东四,12.88平米,202万,"156,833元/平"
dongcheng,南门仓胡同,朝阳门内,84.45平米,958万,"113,440元/平"
dongcheng,华冠丽景,东直门,118.58平米,1428万,"120,426元/平"
dongcheng,金桥国际,广渠门,47.99平米,390万,"81,267元/平"
dongcheng,悠胜美苑,永定门,98.37平米,640万,"65,061元/平"
dongcheng,安德路55号院,安定门,64.37平米,558万,"86,687元/平"
dongcheng,正义路10号院,前门,52.81平米,490万,"92,786元/平"
dongcheng,法华南里,崇文门,81.68平米,718万,"87,905元/平"
dongcheng,前门东大街,前门,62.46平米,550万,"88,057元/平"
dongcheng,龙潭北里,左安门,60.06平米,520万,"86,581元/平"
dongcheng,大方家胡同,朝阳门内,76.42平米,698万,"91,338元/平"
dongcheng,新奥洋房,永定门,183.54平米,1430万,"77,913元/平"
dongcheng,雍和家园一期,和平里,179.48平米,2080万,"115,891元/平"
dongcheng,府上嘉园,安定门,68.21平米,868万,"127,255元/平"
dongcheng,青年湖东里,安定门,64.2平米,469万,"73,053元/平"
dongcheng,忠实里,广渠门,68.93平米,650万,"94,299元/平"
dongcheng,盛德紫阙,和平里,146.09平米,1370万,"93,778元/平"
dongcheng,华龙美晟,永定门,75.51平米,478万,"63,303元/平"
dongcheng,华龙美晟,永定门,74.81平米,540万,"72,183元/平"
dongcheng,中国强胡同,东花市,55.67平米,460万,"82,630元/平"
dongcheng,天天家园,永定门,66.55平米,418万,"62,810元/平"
dongcheng,前门东大街7号,前门,70.41平米,675万,"95,868元/平"
dongcheng,崇文门西大街,崇文门,33.18平米,362万,"109,102元/平"
